Time, Temperature-C, Pressure-Pa, Attitude-m,
2022-10-13 05:34:04,22.74,102543.63,-3.59,
2022-10-13 05:34:07,23.44,102556.04,-4.61,
2022-10-13 05:34:10,23.47,102552.92,-4.35,
2022-10-13 05:34:13,23.49,102551.96,-4.28,
2022-10-13 05:34:16,23.52,102554.16,-4.46,
2022-10-13 05:34:19,23.53,102552.64,-4.33,
2022-10-13 05:34:22,23.54,102551.63,-4.25,
2022-10-13 05:34:25,23.55,102555.90,-4.60,
2022-10-13 05:34:28,23.56,102553.63,-4.41,
2022-10-13 05:34:31,23.58,102556.47,-4.65,
2022-10-13 05:34:34,23.59,102555.53,-4.57,
2022-10-13 05:34:37,23.60,102553.69,-4.42,
2022-10-13 05:34:40,23.62,102553.95,-4.44,
2022-10-13 05:34:43,23.62,102552.49,-4.41,
2022-10-13 05:34:46,23.63,102554.10,-4.45,
2022-10-13 05:34:49,23.64,102554.48,-4.49,
2022-10-13 05:34:52,23.65,102553.09,-4.37,
2022-10-13 05:34:55,23.65,102551.73,-4.26,
2022-10-13 05:34:58,23.66,102552.63,-4.33,
2022-10-13 05:35:01,23.67,102553.72,-4.42,
2022-10-13 05:35:04,23.68,102559.08,-4.86,
2022-10-13 05:35:07,23.68,102555.50,-4.57,
2022-10-13 05:35:10,23.69,102553.67,-4.42,
2022-10-13 05:35:13,23.70,102555.66,-4.58,
2022-10-13 05:35:16,23.70,102555.92,-4.60,
2022-10-13 05:35:19,23.71,102556.07,-4.62,
2022-10-13 05:35:22,23.71,102555.64,-4.61,
2022-10-13 05:35:25,23.72,102552.71,-4.34,
2022-10-13 05:35:28,23.72,102556.63,-4.66,
2022-10-13 05:35:31,23.72,102556.39,-4.64,
2022-10-13 05:35:34,23.73,102555.82,-4.60,
2022-10-13 05:35:37,23.74,102556.78,-4.68,
2022-10-13 05:35:40,23.74,102553.41,-4.40,
2022-10-13 05:35:43,23.75,102553.41,-4.40,
2022-10-13 05:35:46,23.76,102554.28,-4.47,
2022-10-13 05:35:49,23.77,102551.52,-4.24,
2022-10-13 05:35:52,23.77,102551.96,-4.28,
2022-10-13 05:35:55,23.76,102554.00,-4.44,
2022-10-13 05:35:58,23.77,102558.17,-4.79,
2022-10-13 05:36:01,23.78,102554.14,-4.45,
2022-10-13 05:36:04,23.78,102556.27,-4.63,
2022-10-13 05:36:07,23.80,102555.39,-4.56,
2022-10-13 05:36:10,23.80,102557.75,-4.75,
2022-10-13 05:36:13,23.80,102560.55,-4.98,
2022-10-13 05:36:16,23.81,102560.80,-5.00,
2022-10-13 05:36:19,23.82,102557.56,-4.78,
2022-10-13 05:36:22,23.82,102557.28,-4.71,
2022-10-13 05:36:25,23.83,102560.22,-4.96,
2022-10-13 05:36:28,23.84,102558.22,-4.79,
2022-10-13 05:36:31,23.84,102558.36,-4.80,
2022-10-13 05:36:34,23.85,102562.32,-5.13,
2022-10-13 05:36:37,23.85,102562.74,-5.16,
2022-10-13 05:36:40,23.86,102559.71,-4.91,
2022-10-13 05:36:43,23.86,102555.89,-4.60,
2022-10-13 05:36:46,23.86,102557.22,-4.71,
2022-10-13 05:36:49,23.86,102562.44,-5.14,
2022-10-13 05:36:52,23.86,102561.64,-5.07,
2022-10-13 05:36:55,23.86,102559.64,-4.91,
2022-10-13 05:36:58,23.86,102558.78,-4.84,
2022-10-13 05:37:01,23.85,102556.67,-4.67,
2022-10-13 05:37:04,23.86,102558.44,-4.81,
2022-10-13 05:37:07,23.86,102556.88,-4.68,
2022-10-13 05:37:10,23.86,102558.85,-4.85,
2022-10-13 05:37:13,23.86,102560.89,-5.01,
2022-10-13 05:37:16,23.86,102557.66,-4.75,
2022-10-13 05:37:19,23.87,102560.97,-5.02,
2022-10-13 05:37:22,23.87,102557.91,-4.77,
2022-10-13 05:37:25,23.87,102558.05,-4.78,
2022-10-13 05:37:28,23.87,102561.01,-5.02,
2022-10-13 05:37:31,23.88,102555.19,-4.54,
2022-10-13 05:37:34,23.88,102557.34,-4.72,
2022-10-13 05:37:37,23.88,102558.83,-4.84,
2022-10-13 05:37:40,23.88,102558.67,-4.83,
2022-10-13 05:37:43,23.89,102558.60,-4.82,
2022-10-13 05:37:46,23.89,102557.75,-4.76,
2022-10-13 05:37:49,23.89,102561.39,-5.05,
2022-10-13 05:37:52,23.89,102561.23,-5.04,
2022-10-13 05:37:55,23.89,102560.89,-5.01,
2022-10-13 05:37:58,23.89,102556.11,-4.62,
2022-10-13 05:38:01,23.89,102561.67,-5.08,
2022-10-13 05:38:04,23.89,102562.52,-5.15,
2022-10-13 05:38:07,23.89,102559.46,-4.89,
2022-10-13 05:38:10,23.89,102561.85,-5.09,
2022-10-13 05:38:13,23.89,102557.92,-4.77,
2022-10-13 05:38:16,23.89,102562.25,-4.94,
2022-10-13 05:38:19,23.89,102562.08,-5.11,
2022-10-13 05:38:22,23.90,102555.17,-4.54,
2022-10-13 05:38:25,23.90,102554.66,-4.50,
2022-10-13 05:38:28,23.91,102558.17,-4.79,
2022-10-13 05:38:31,23.91,102560.53,-4.98,
2022-10-13 05:38:34,23.92,102557.63,-4.75,
2022-10-13 05:38:37,23.93,102561.90,-5.09,
2022-10-13 05:38:40,23.93,102560.96,-5.02,
2022-10-13 05:38:43,23.93,102558.46,-4.81,
2022-10-13 05:38:46,23.93,102556.66,-4.66,
2022-10-13 05:38:49,23.94,102560.72,-5.00,
2022-10-13 05:38:52,23.95,102559.77,-4.92,
2022-10-13 05:38:55,23.94,102562.09,-5.11,
2022-10-13 05:38:58,23.95,102562.22,-5.12,
2022-10-13 05:39:01,23.95,102558.75,-4.84,
2022-10-13 05:39:04,23.96,102562.07,-5.11,
2022-10-13 05:39:07,23.96,102556.51,-4.65,
2022-10-13 05:39:10,23.96,102561.21,-5.04,
2022-10-13 05:39:13,23.96,102557.19,-4.71,
2022-10-13 05:39:16,23.96,102556.34,-4.63,
2022-10-13 05:39:19,23.96,102556.92,-4.69,
2022-10-13 05:39:22,23.96,102557.19,-4.71,
2022-10-13 05:39:25,23.97,102561.66,-5.07,
2022-10-13 05:39:28,23.97,102559.35,-4.88,
2022-10-13 05:39:31,23.97,102557.24,-4.71,
2022-10-13 05:39:34,23.97,102562.00,-5.10,
2022-10-13 05:39:37,23.97,102558.94,-4.85,
2022-10-13 05:39:40,23.97,102555.77,-4.59,
2022-10-13 05:39:43,23.98,102562.08,-5.11,
2022-10-13 05:39:46,23.97,102559.11,-4.87,
2022-10-13 05:39:49,23.97,102555.02,-4.53,
2022-10-13 05:39:52,23.98,102557.69,-4.75,
2022-10-13 05:39:55,23.98,102560.75,-5.00,
2022-10-13 05:39:58,23.99,102557.49,-4.73,
2022-10-13 05:40:01,23.99,102556.11,-4.62,
2022-10-13 05:40:04,23.99,102557.66,-4.75,
2022-10-13 05:40:07,23.99,102556.22,-4.63,
2022-10-13 05:40:10,23.99,102557.92,-4.77,
2022-10-13 05:40:13,23.99,102555.34,-4.56,
2022-10-13 05:40:16,24.00,102556.40,-4.64,
2022-10-13 05:40:19,24.00,102558.96,-4.85,
2022-10-13 05:40:22,24.00,102555.69,-4.59,
2022-10-13 05:40:25,24.00,102562.27,-5.13,
2022-10-13 05:40:28,24.00,102558.96,-4.85,
2022-10-13 05:40:31,24.00,102558.10,-4.78,
2022-10-13 05:40:34,24.00,102557.22,-4.71,
2022-10-13 05:40:37,24.01,102558.11,-4.78,
2022-10-13 05:40:40,24.01,102558.28,-4.80,
2022-10-13 05:40:43,24.02,102559.72,-4.91,
2022-10-13 05:40:46,24.01,102558.11,-4.78,
2022-10-13 05:40:49,24.02,102561.46,-5.06,
2022-10-13 05:40:52,24.02,102559.62,-4.91,
2022-10-13 05:40:55,24.02,102557.88,-4.76,
2022-10-13 05:40:59,24.03,102559.08,-4.86,
2022-10-13 05:41:02,24.02,102553.96,-4.44,
2022-10-13 05:41:05,24.03,102557.28,-4.71,
2022-10-13 05:41:08,24.02,102555.84,-4.60,
2022-10-13 05:41:11,24.02,102553.79,-4.43,
2022-10-13 05:41:14,24.03,102555.47,-4.57,
2022-10-13 05:41:17,24.03,102560.07,-4.95,
2022-10-13 05:41:20,24.03,102557.28,-4.71,
2022-10-13 05:41:23,24.03,102556.60,-4.66,
2022-10-13 05:41:26,24.03,102557.96,-4.77,
2022-10-13 05:41:29,24.04,102559.42,-4.89,
2022-10-13 05:41:32,24.04,102557.96,-4.77,
2022-10-13 05:41:35,24.04,102562.74,-5.16,
2022-10-13 05:41:38,24.04,102557.86,-4.76,
2022-10-13 05:41:41,24.04,102557.60,-4.74,
2022-10-13 05:41:44,24.04,102555.72,-4.59,
2022-10-13 05:41:47,24.05,102560.71,-5.00,
2022-10-13 05:41:50,24.06,102557.43,-4.73,
2022-10-13 05:41:53,24.07,102559.89,-4.93,
2022-10-13 05:41:56,24.07,102558.86,-4.85,
2022-10-13 05:41:59,24.06,102557.43,-4.73,
2022-10-13 05:42:02,24.07,102555.16,-4.54,
2022-10-13 05:42:05,24.07,102557.54,-4.73,
2022-10-13 05:42:08,24.08,102556.39,-4.64,
2022-10-13 05:42:11,24.08,102556.56,-4.66,
2022-10-13 05:42:14,24.08,102554.58,-4.49,
2022-10-13 05:42:17,24.09,102554.99,-4.53,
2022-10-13 05:42:20,24.09,102555.41,-4.56,
2022-10-13 05:42:23,24.09,102555.92,-4.60,
2022-10-13 05:42:26,24.09,102553.50,-4.41,
2022-10-13 05:42:29,24.09,102553.09,-4.37,
2022-10-13 05:42:32,24.10,102562.10,-5.11,
2022-10-13 05:42:35,24.10,102560.06,-4.94,
2022-10-13 05:42:38,24.11,102553.72,-4.42,
2022-10-13 05:42:41,24.11,102554.26,-4.47,
2022-10-13 05:42:44,24.11,102557.57,-4.74,
2022-10-13 05:42:47,24.11,102559.27,-4.88,
2022-10-13 05:42:50,24.11,102556.55,-4.35,
2022-10-13 05:42:53,24.11,102553.99,-4.44,
2022-10-13 05:42:56,24.11,102559.17,-4.87,
2022-10-13 05:42:59,24.11,102556.31,-4.63,
2022-10-13 05:43:02,24.11,102557.33,-4.72,
2022-10-13 05:43:05,24.12,102557.37,-4.72,
2022-10-13 05:43:08,24.11,102552.63,-4.33,
2022-10-13 05:43:11,24.11,102556.14,-4.62,
2022-10-13 05:43:14,24.11,102557.91,-4.77,
2022-10-13 05:43:17,24.12,102555.32,-4.56,
2022-10-13 05:43:20,24.12,102554.82,-4.67,
2022-10-13 05:43:23,24.12,102553.69,-4.42,
2022-10-13 05:43:26,24.12,102558.12,-4.78,
2022-10-13 05:43:29,24.12,102556.32,-4.63,
2022-10-13 05:43:32,24.12,102557.78,-4.76,
2022-10-13 05:43:35,24.12,102555.22,-4.54,
2022-10-13 05:43:38,24.12,102558.80,-4.84,
2022-10-13 05:43:41,24.12,102560.58,-4.99,
2022-10-13 05:43:44,24.12,102560.31,-4.96,
2022-10-13 05:43:47,24.13,102558.07,-4.78,
2022-10-13 05:43:50,24.13,102558.74,-4.84,
2022-10-13 05:43:53,24.13,102559.94,-4.94,
2022-10-13 05:43:56,24.14,102563.42,-5.22,
2022-10-13 05:43:59,24.14,102560.89,-5.01,
2022-10-13 05:44:02,24.14,102556.03,-4.61,
2022-10-13 05:44:05,24.15,102558.11,-4.78,
2022-10-13 05:44:08,24.15,102557.35,-4.72,
2022-10-13 05:44:11,24.15,102556.55,-4.66,
2022-10-13 05:44:14,24.15,102559.44,-4.89,
2022-10-13 05:44:17,24.15,102559.96,-4.94,
2022-10-13 05:44:20,24.16,102558.18,-4.79,
